0,100,156
1,118,186
2,138,220
3,155,252
4,169,278
5,181,300
6,195,326
7,207,348
8,222,376
9,244,414
10,268,456
11,287,492
12,307,530
13,321,556
14,343,598
15,363,636
16,380,668
17,401,708
18,420,744
19,436,774
20,453,806
21,471,840
22,491,878
23,506,906
24,524,940
25,538,966
26,554,996
27,572,1030
28,589,1062
29,609,1100
30,629,1138
31,643,1164
32,662,1200
33,682,1238
34,704,1280
35,718,1306
36,736,1340
37,756,1378
38,772,1408
39,791,1444
40,805,1470
41,822,1502
42,835,1526
43,853,1560
44,875,1602
45,891,1632
46,907,1662
47,925,1696
48,944,1732
49,966,1774
50,979,1798
