0,2,1
1,8,5
2,18,11
3,36,21
4,68,38
5,116,63
6,184,98
7,276,145
8,398,207
9,552,285
10,742,381
11,972,497
12,1246,635
13,1568,797
14,1944,986
15,2376,1203
16,2868,1450
17,3424,1729
18,4048,2042
19,4744,2391
20,5516,2778
21,6368,3205
22,7306,3675
23,8332,4189
24,9450,4749
25,10664,5357
26,11978,6015
27,13396,6725
28,14922,7489
29,16560,8309
30,18314,9187
31,20188,10125
32,22188,11126
33,24316,12191
34,26576,13322
35,28972,14521
36,31508,15790
37,34188,17131
38,37016,18546
39,39996,20037
40,43132,21606
41,46428,23255
42,49888,24986
43,53516,26801
44,57318,28703
45,61296,30693
46,65454,32773
47,69796,34945
48,74326,37211
49,79048,39573
50,83966,42033
51,89084,44593
52,94406,47255
53,99936,50021
54,105678,52893
55,111636,55873
56,117814,58963
57,124216,62165
58,130848,65482
59,137712,68915
60,144812,72466
61,152152,76137
62,159736,79930
63,167568,83847
64,175652,87890
65,183992,92061
66,192592,96362
67,201456,100795
68,210588,105362
69,219992,110065
70,229672,114906
71,239632,119887
72,249876,125010
73,260408,130277
74,271234,135691
75,282356,141253
76,293778,146965
77,305504,152829
78,317538,158847
79,329884,165021
80,342546,171353
81,355528,177845
82,368834,184499
83,382468,191317
84,396434,198301
85,410736,205453
86,425378,212775
87,440364,220269
88,455698,227937
89,471384,235781
90,487426,243803
91,503828,252005
92,520596,260390
93,537732,268959
94,555240,277714
95,573124,286657
96,591388,295790
97,610036,305115
98,629072,314634
99,648500,324349
100,668324,334262
101,688548,344375
102,709176,354690
103,730212,365209
104,751660,375934
105,773524,386867
106,795808,398010
107,818516,409365
108,841652,420934
109,865220,432719
110,889224,444722
111,913668,456945
112,938558,469391
113,963896,482061
114,989686,494957
115,1015932,508081
116,1042638,521435
117,1069808,535021
118,1097446,548841
119,1125556,562897
120,1154142,577191
121,1183208,591725
122,1212758,606501
123,1242796,621521
124,1273326,636787
125,1304352,652301
126,1335878,668065
127,1367908,684081
